Loyalty Number,Year,Month,Flights Booked,Flights with Companions,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Date
101544,2017,1,6,0,6,1332,133.0,0,0,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,56531,Married,Nova,24249.34,Standard,2014-04-01
101547,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M2M 7K8,Female,College,79258,Married,Star,5619.69,Standard,2017-10-01
101581,2017,1,6,0,6,2082,208.0,0,0,Canada,Ontario,Toronto,P5S 6R4,Male,Bachelor,87781,Married,Star,4595.46,Standard,2012-10-01
101594,2017,1,11,0,11,3399,339.0,0,0,Canada,Ontario,Toronto,P2T 6G3,Male,Doctor,239867,Divorced,Star,5205.75,Standard,2015-08-01
101644,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,P1L 8X8,Female,Master,101038,Married,Star,8382.63,Standard,2018-11-01
101663,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,94946,Married,Aurora,5129.74,Standard,2016-09-01
101664,2017,1,4,4,8,3128,312.0,0,0,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,87654,Married,Aurora,9002.41,Standard,2013-07-01
101768,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,70267,Single,Nova,13916.93,Standard,2018-09-01
101895,2017,1,7,0,7,658,65.0,0,0,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,81883,Single,Nova,24543.2,Standard,2013-02-01
101902,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,London,M5B 3E4,Female,College,79258,Married,Aurora,6265.34,Standard,2017-01-01
101945,2017,1,5,0,5,1510,151.0,0,0,Canada,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,86098,Married,Star,4202.66,Standard,2013-11-01
102168,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,75265,Divorced,Nova,7166.34,Standard,2018-01-01
102184,2017,1,0,0,0,0,0.0,0,0,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,76887,Married,Star,4923.18,Standard,2016-04-01
102207,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,86413,Divorced,Nova,6960.92,Standard,2012-05-01
102299,2017,1,0,0,0,0,0.0,0,0,Canada,Manitoba,Winnipeg,R6Y 4T5,Female,College,79258,Single,Star,2089.34,Standard,2015-07-01
102308,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 2J6,Male,College,79258,Single,Star,12866.89,Standard,2018-11-01
102311,2017,1,6,3,9,2007,200.0,0,0,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,76485,Single,Star,7507.46,Standard,2016-10-01
102376,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Sudbury,M5V 1G5,Male,College,79258,Single,Aurora,12765.78,2018 Promotion,2018-03-01
102464,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,60563,Married,Star,2725.68,Standard,2016-07-01
102615,2017,1,0,0,0,0,0.0,0,0,Canada,Saskatchewan,Regina,S1J 3C5,Female,Doctor,51630,Married,Aurora,7590.05,Standard,2018-09-01
102726,2017,1,0,0,0,0,0.0,0,0,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,84147,Married,Nova,8044.87,Standard,2017-08-01
102730,2017,1,0,0,0,0,0.0,0,0,Canada,New Brunswick,Moncton,E1A 2A7,Male,High School or Below,80919,Single,Star,2453.57,Standard,2017-12-01
102740,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,100571,Married,Star,16922.13,Standard,2018-06-01
102788,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,31170,Single,Nova,11124.21,2018 Promotion,2018-03-01
159942,2017,3,9,7,16,4576,457.0,364,30,Canada,Ontario,Toronto,M8Y 4K8,Female,Bachelor,52192,Divorced,Nova,5532.63,Standard,2012-08-01
102877,2017,1,2,0,2,2426,242.0,0,0,Canada,Ontario,Trenton,K8V 4B2,Female,College,79258,Married,Nova,2863.04,Standard,2014-07-01
102982,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,84442,Married,Aurora,5235.57,Standard,2016-11-01
103043,2017,1,9,0,9,1026,102.0,0,0,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,97920,Married,Star,3351.21,Standard,2018-12-01
103151,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,64962,Married,Aurora,32613.69,Standard,2013-05-01
103217,2017,1,10,5,15,1530,153.0,0,0,Canada,Quebec,Montreal,H2T 2J6,Male,College,79258,Single,Star,6439.33,Standard,2013-10-01
103304,2017,1,0,0,0,0,0.0,0,0,Canada,Alberta,Banff,T4V 1D4,Male,Bachelor,67227,Married,Star,2683.47,Standard,2013-10-01
103340,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79258,Single,Star,7577.07,Standard,2017-03-01
103352,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,69742,Married,Aurora,5555.49,Standard,2014-11-01
103359,2017,1,6,0,6,1098,109.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,79258,Single,Star,4502.87,Standard,2016-03-01
103362,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Tremblant,H5Y 2S9,Male,College,79258,Single,Star,4807.0,Standard,2018-10-01
103383,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Kingston,M9K 2P4,Male,Doctor,65018,Married,Aurora,13466.92,Standard,2015-06-01
103436,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67445,Single,Star,5015.01,Standard,2013-05-01
103490,2017,1,6,4,10,2050,205.0,0,0,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,High School or Below,65543,Single,Nova,17651.96,Standard,2013-07-01
103502,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,66226,Married,Star,2580.85,Standard,2017-05-01
103536,2017,1,6,0,6,2088,208.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,79258,Married,Nova,9202.64,Standard,2012-10-01
103699,2017,1,0,0,0,0,0.0,0,0,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,86388,Single,Nova,5595.39,Standard,2018-01-01
103731,2017,1,10,0,10,1490,149.0,0,0,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,90487,Married,Nova,4015.34,Standard,2016-01-01
103758,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,103461,Single,Star,14727.51,Standard,2018-06-01
103823,2017,1,3,0,3,2547,254.0,0,0,Canada,Ontario,Toronto,M1R 4K3,Female,High School or Below,52820,Married,Nova,4812.53,Standard,2014-10-01
103860,2017,1,2,0,2,2026,202.0,0,0,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,75348,Married,Nova,3358.53,Standard,2014-05-01
103862,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Kingston,M9K 2P4,Female,Doctor,299560,Married,Star,4878.83,Standard,2013-07-01
103916,2017,1,1,0,1,346,34.0,0,0,Canada,Alberta,Edmonton,T3G 6Y6,Female,High School or Below,60894,Married,Star,3803.92,Standard,2014-03-01
103969,2017,1,9,3,12,2724,272.0,0,0,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,52405,Married,Aurora,31410.93,Standard,2015-04-01
103970,2017,1,6,6,12,3480,348.0,0,0,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Doctor,221857,Married,Aurora,8257.67,Standard,2015-10-01
103975,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,71775,Married,Star,2411.26,Standard,2018-08-01
103985,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M2Z 4K1,Male,College,79258,Single,Nova,2761.69,Standard,2018-09-01
104103,2017,1,3,3,6,2334,233.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,79258,Married,Nova,8262.88,Standard,2016-05-01
104267,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,28642,Married,Star,2701.04,2018 Promotion,2018-03-01
104353,2017,1,11,6,17,1343,134.0,0,0,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,104140,Married,Star,15777.89,Standard,2014-01-01
627915,2018,11,7,6,13,3757,375.0,310,25,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,72438,Married,Star,16874.33,Standard,2014-11-01
104586,2017,1,1,1,2,484,48.0,0,0,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,86609,Divorced,Aurora,7772.58,Standard,2016-12-01
104673,2017,1,6,2,8,3152,315.0,0,0,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,60006,Married,Aurora,14723.41,Standard,2012-10-01
104732,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,50930,Married,Nova,8382.48,Standard,2016-01-01
104739,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 9K8,Female,High School or Below,65565,Married,Nova,5498.94,Standard,2013-11-01
104849,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,63326,Married,Nova,2816.76,Standard,2014-03-01
104960,2017,1,0,0,0,0,0.0,0,0,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,90265,Married,Star,2551.23,Standard,2012-06-01
105063,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,236405,Divorced,Star,7251.33,2018 Promotion,2018-03-01
105073,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M2M 6J7,Male,College,79258,Single,Aurora,7562.82,2018 Promotion,2018-03-01
105074,2017,1,6,0,6,2076,207.0,0,0,Canada,Ontario,Toronto,M1R 4K3,Male,Bachelor,79727,Married,Nova,2799.75,Standard,2014-10-01
105145,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M8Y 4K8,Male,College,79258,Single,Star,4839.11,Standard,2012-07-01
105193,2017,1,0,0,0,0,0.0,0,0,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,92396,Married,Nova,8838.09,Standard,2018-06-01
105214,2017,1,11,0,11,2783,278.0,0,0,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,88863,Divorced,Star,5897.99,Standard,2013-08-01
471706,2018,7,12,10,22,5896,589.0,445,36,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,76622,Divorced,Nova,10484.92,Standard,2018-11-01
105352,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,79258,Single,Star,3923.27,Standard,2014-01-01
105552,2017,1,0,0,0,0,0.0,0,0,Canada,Prince Edward Island,Charlottetown,C1A 6E8,Male,Bachelor,77935,Married,Nova,8256.3,Standard,2015-11-01
105688,2017,1,4,0,4,932,93.0,0,0,Canada,British Columbia,Vancouver,V1E 4R6,Female,College,79258,Married,Aurora,5507.06,Standard,2014-06-01
105700,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,79258,Single,Nova,7944.97,Standard,2013-08-01
105712,2017,1,11,6,17,2771,277.0,0,0,Canada,Ontario,Toronto,M2M 7K8,Female,College,79258,Married,Nova,8311.14,Standard,2015-08-01
105789,2017,1,10,0,10,840,84.0,0,0,Canada,Saskatchewan,Regina,S1J 3C5,Female,College,79258,Single,Nova,2943.05,Standard,2012-06-01
105835,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,41085,Married,Star,4756.13,2018 Promotion,2018-04-01
105841,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,55130,Married,Star,17420.57,2018 Promotion,2018-03-01
105921,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,77255,Married,Star,5041.45,Standard,2012-09-01
105932,2017,1,13,6,19,1653,165.0,0,0,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,62977,Married,Star,3671.82,Standard,2016-07-01
105992,2017,1,10,0,10,2190,219.0,0,0,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,75700,Married,Nova,5905.97,Standard,2016-12-01
106001,2017,1,9,4,13,1365,136.0,0,0,Canada,Quebec,Montreal,H2Y 4R4,Female,High School or Below,39000,Single,Star,4914.04,Standard,2013-01-01
106037,2017,1,5,3,8,1328,132.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,94980,Married,Nova,11281.52,Standard,2013-03-01
106038,2017,1,3,0,3,2418,241.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,47889,Married,Star,7380.09,Standard,2016-09-01
106046,2017,1,8,0,8,2472,247.0,0,0,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,16628,Single,Star,2658.22,2018 Promotion,2018-04-01
106048,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,Doctor,70755,Divorced,Star,11315.2,Standard,2018-11-01
107119,2017,11,10,6,16,3936,393.0,312,25,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,92398,Single,Nova,17684.65,Standard,2013-04-01
106397,2017,1,5,0,5,430,43.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,79258,Married,Aurora,7902.68,Standard,2012-05-01
106444,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79258,Divorced,Aurora,8447.8,Standard,2017-12-01
106477,2017,1,2,0,2,1866,186.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,52935,Divorced,Star,2487.26,Standard,2014-02-01
106589,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,71630,Married,Star,11638.9,Standard,2013-08-01
106592,2017,1,8,0,8,1520,152.0,0,0,Canada,Alberta,Banff,T4V 1D4,Male,Doctor,298661,Married,Nova,11727.78,Standard,2016-06-01
106616,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,53879,Married,Star,2560.69,Standard,2018-07-01
106623,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,77314,Married,Nova,10827.87,Standard,2018-09-01
106637,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,86121,Married,Star,7455.36,Standard,2014-04-01
106689,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,61554,Married,Nova,2795.41,Standard,2017-06-01
516133,2018,11,10,6,16,3936,393.0,312,25,Canada,British Columbia,Vancouver,V1E 4R6,Female,Bachelor,77959,Married,Aurora,11314.24,Standard,2014-01-01
106757,2017,1,4,1,5,1170,117.0,0,0,Canada,Alberta,Edmonton,T9G 1W3,Male,College,79258,Married,Aurora,21423.64,Standard,2015-06-01
106776,2017,1,0,0,0,0,0.0,0,0,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,50611,Married,Star,19357.8,Standard,2012-12-01
106838,2017,1,3,3,6,1416,141.0,0,0,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,58674,Married,Aurora,7524.74,Standard,2016-10-01
106839,2017,1,2,0,2,1984,198.0,0,0,Canada,Ontario,London,M5B 3E4,Male,Bachelor,63081,Married,Nova,6511.47,Standard,2014-07-01
106936,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Kingston,M9K 2P4,Female,Bachelor,67299,Married,Nova,57520.5,Standard,2012-11-01
444931,2017,9,11,7,18,4428,442.0,343,28,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Doctor,144697,Married,Aurora,5452.63,Standard,2015-01-01
106964,2017,1,0,0,0,0,0.0,0,0,Canada,New Brunswick,Moncton,E1A 2A7,Female,College,79258,Single,Star,5568.95,Standard,2018-08-01
106978,2017,1,1,0,1,1125,112.0,0,0,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,81959,Divorced,Nova,3455.23,Standard,2012-12-01
106979,2017,1,8,4,12,2004,200.0,0,0,Canada,Quebec,Montreal,H4G 3T4,Male,Bachelor,86727,Single,Star,14083.97,Standard,2012-06-01
107037,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,62780,Married,Aurora,17732.46,Standard,2017-05-01
107067,2017,1,5,0,5,2735,273.0,0,0,Canada,Quebec,Montreal,H3T 8L4,Female,Bachelor,100598,Married,Star,5137.35,Standard,2016-03-01
107141,2017,1,2,0,2,1162,116.0,0,0,Canada,Manitoba,Winnipeg,R2C 0M5,Male,College,79258,Married,Star,7292.91,Standard,2013-08-01
107203,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Female,Master,94014,Divorced,Star,3044.79,Standard,2016-03-01
107212,2017,1,12,3,15,2490,249.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Female,Doctor,240146,Married,Star,6842.58,Standard,2013-02-01
107296,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2Y 4R4,Male,Bachelor,74457,Married,Aurora,21892.94,Standard,2017-07-01
107385,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,87890,Divorced,Star,7155.47,Standard,2017-11-01
107461,2017,1,1,0,1,526,52.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,79258,Married,Star,2519.92,Standard,2015-02-01
107466,2017,1,0,0,0,0,0.0,0,0,Canada,New Brunswick,Moncton,E1A 2A7,Female,Bachelor,66901,Married,Nova,4285.58,Standard,2017-01-01
107487,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 2J6,Male,Master,105487,Divorced,Nova,7805.31,Standard,2017-04-01
107571,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V6E 3Z3,Male,College,79258,Single,Aurora,7486.09,Standard,2017-03-01
107649,2017,1,10,1,11,2321,232.0,0,0,Canada,Alberta,Calgary,T3E 2V9,Male,Bachelor,94733,Married,Aurora,5879.18,Standard,2012-05-01
107719,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Kelowna,V09 2E9,Male,College,79258,Single,Star,2345.08,Standard,2012-07-01
107730,2017,1,0,0,0,0,0.0,0,0,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,52961,Single,Aurora,26511.6,Standard,2017-12-01
107835,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,50363,Single,Star,3495.89,Standard,2018-09-01
107902,2017,1,11,0,11,2365,236.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,103122,Single,Nova,4369.5,Standard,2015-04-01
107993,2017,1,5,4,9,3303,330.0,0,0,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,52414,Married,Aurora,23740.12,Standard,2016-06-01
108264,2017,1,4,0,4,2008,200.0,0,0,Canada,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,60970,Married,Star,2515.41,Standard,2013-01-01
409051,2018,9,11,7,18,4428,442.0,343,28,Canada,Ontario,Toronto,P1L 8X8,Male,College,79258,Single,Aurora,20534.39,Standard,2014-02-01
572345,2018,5,12,7,19,4769,476.0,366,30,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,74474,Married,Nova,8104.43,Standard,2013-12-01
108440,2017,1,7,3,10,970,97.0,0,0,Canada,Ontario,London,M5B 3E4,Male,Bachelor,100884,Married,Star,7842.87,Standard,2013-05-01
108462,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,64014,Married,Star,8186.1,Standard,2016-06-01
108481,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,60934,Married,Aurora,11633.58,Standard,2018-11-01
108528,2017,1,1,0,1,335,33.0,0,0,Canada,Ontario,Toronto,M2M 7K8,Female,Bachelor,53081,Divorced,Star,7858.11,Standard,2014-05-01
108625,2017,1,5,5,10,2730,273.0,0,0,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,81729,Married,Nova,15470.6,Standard,2016-04-01
108666,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,64417,Single,Aurora,12036.62,Standard,2015-10-01
108907,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,College,79258,Single,Star,2337.36,Standard,2016-08-01
109022,2017,1,6,4,10,800,80.0,0,0,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,57960,Married,Nova,2991.42,Standard,2013-03-01
245419,2017,12,13,8,21,5166,516.0,389,32,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,79258,Single,Nova,3288.66,Standard,2013-10-01
109029,2017,1,0,0,0,0,0.0,0,0,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,74819,Divorced,Star,5812.0,Standard,2018-10-01
109203,2017,1,4,0,4,408,40.0,0,0,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,69098,Married,Star,8092.88,Standard,2014-10-01
109399,2017,1,11,0,11,2112,211.0,0,0,Canada,Alberta,Calgary,T3E 2V9,Male,College,79258,Married,Nova,4376.08,Standard,2018-12-01
109478,2017,1,2,0,2,562,56.0,0,0,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,84346,Married,Star,20998.26,Standard,2014-07-01
